overall_rank,batch_rank,title,organization,org_type,composite_score,iaps_alignment,policy_specificity,evidence_base,political_viability,reasoning,row_index
241,49,Support Large-Scale AI Pilot Projects,"CGI Federal, Inc.",Industry (Other),5.2,5.0,5.0,5.0,6.0,Funding large-scale AI pilot projects is actionable but lacks detail and is not a core IAPS priority.,1951
242,50,Expand RoboticsCareer.org,"Advanced Robotics for Manufacturing
  Institute",Think Tank,5.2,5.0,5.0,5.0,6.0,Expanding RoboticsCareer.org is actionable but sector-specific and not a core IAPS concern.,1473
243,51,Mitigate AI's Impact on Employment,Wahba Institute for Strategic Competition,Think Tank,5.2,5.0,5.0,5.0,6.0,AI workforce training and job transition is actionable but generic and not directly aligned with IAPS priorities.,1916
244,57,Simplify Procurement for AI Technologies,HPE,Industry (Other),5.2,5.0,5.0,5.0,6.0,"Simplifies procurement for AI. Vague, lacks detail.",3563
245,58,Modernize government AI adoption and procurement,Google,Frontier Developer,5.2,5.0,5.0,5.0,6.0,"Modernizes government AI adoption/procurement. Vague, mostly corporate wish list.",3822
246,59,Unlock AI's potential within the public sector,Amazon,Frontier Developer,5.2,5.0,5.0,5.0,6.0,"Unlocks AI in public sector via cloud. Mostly marketing, lacks specificity.",3803
247,60,Use Government Procurement as Market Signal,INCOMPAS,Industry Association,5.2,5.0,5.0,5.0,6.0,"Government procurement as market signal. Vague, lacks detail.",3607
248,48,Support Diverse AI Deployment Models,Information Technology Industry Council,Industry Association,5.15,5.5,5.0,5.0,5.0,Supporting diverse AI deployment models is actionable but generic and primarily industry wish-list.,4327
249,49,Strengthen Connectivity Infrastructure for AI,Information Technology Industry Council,Industry Association,5.15,5.5,5.0,5.0,5.0,Strengthening connectivity infrastructure is actionable but generic and primarily industry-driven.,4303
250,46,Support development of data annotation standards,Microsoft,Frontier Developer,5.1,5.0,5.0,5.0,5.5,Data annotation standards are relevant but the proposal is generic and self-serving (Microsoft).,69
251,45,Partner with Industry to Create Apprenticeship and Internship Programs,"CGI Federal, Inc.",Industry (Other),5.1,5.0,5.0,5.0,5.5,Industry apprenticeship programs are actionable but not highly strategic for IAPS. Lacks detail.,2144
252,46,Fund AI and Emerging Technology Research,Wahba Institute for Strategic Competition,Think Tank,5.1,5.0,5.0,5.0,5.5,Funding AI research is important but very generic and lacks specificity.,2058
253,52,Create Lifelong Learning and Upskilling Tax Incentives,"Advanced Robotics for Manufacturing
  Institute",Think Tank,5.05,4.5,5.0,5.0,6.0,Tax incentives for upskilling are actionable but generic and not a core IAPS focus.,1590
254,53,Enforce robust data safeguards in the AI lifecycle,Bipartisan Policy Center,Think Tank,5.05,4.5,5.0,5.0,6.0,Data safeguards in AI lifecycle are important but proposal is vague and lacks implementation specifics.,1982
255,47,Establish Data and Model Governance Framework,HPE,Industry (Other),5.0,5.0,5.0,5.0,5.0,Data and model governance framework is a generic aspiration with little detail on enforcement or implementation.,387
256,47,Support Consortiums for AI Research,HPE,Industry (Other),5.0,5.0,5.0,5.0,5.0,Supporting consortiums for AI research is generic and self-serving. Lacks detail.,2060
257,48,Invest in Public-Private Partnerships for Innovation,HPE,Industry (Other),5.0,5.0,5.0,5.0,5.0,Public-private partnerships for innovation are generic and lack specificity.,2694
258,49,Foster Partnerships for Resource Sharing,HPE,Industry (Other),5.0,5.0,5.0,5.0,5.0,Resource sharing partnerships are generic and lack specificity.,2170
259,50,Promote Open Standards and Interoperability,HPE,Industry (Other),5.0,5.0,5.0,5.0,5.0,Open standards and interoperability are important but proposal is vague and lacks implementation detail.,2570
260,51,Promote AI Standards Adoption,Information Technology Industry Council,Industry Association,5.0,5.0,5.0,5.0,5.0,Promoting AI standards adoption is generic and lacks specifics.,2511
261,52,Promote Industry-Standard Trusted Execution Environments,HPE,Industry (Other),5.0,5.0,5.0,5.0,5.0,Trusted Execution Environments are important but proposal is vague and self-serving.,2471
262,53,"Invest in System, Storage, and Network Infrastructure",HPE,Industry (Other),5.0,5.0,5.0,5.0,5.0,Investing in system/network infrastructure is generic and lacks detail.,2681
263,50,Enable AI-Based Dynamic Spectrum Sharing,INCOMPAS,Industry Association,5.0,5.0,5.0,5.0,5.0,AI-based dynamic spectrum sharing is actionable but primarily industry lobbying and not directly aligned with IAPS's core priorities.,3874
264,51,Adopt Industry Standards for AI Development,HPE,Industry (Other),5.0,5.0,5.0,5.0,5.0,"Adopting industry standards is generic, lacks detail, and is primarily industry wish-list.",4124
265,52,Develop Agency-Wide AI Resources,HPE,Industry (Other),5.0,5.0,5.0,5.0,5.0,Developing agency-wide AI resources is actionable but generic and lacks specificity.,4382
266,53,Leverage National Laboratories' Workforce,HPE,Industry (Other),5.0,5.0,5.0,5.0,5.0,Leveraging national laboratories' workforce is generic and lacks actionable recommendations.,4464
267,54,Establish Frameworks for International Data Sharing,HPE,Industry (Other),5.0,5.0,5.0,5.0,5.0,Establishing frameworks for international data sharing is vague and lacks detail.,4701
268,55,Establish Robust Data Governance Practices,HPE,Industry (Other),5.0,5.0,5.0,5.0,5.0,Establishing robust data governance practices is generic and lacks actionable detail.,4132
269,48,Adopt Flexible AI Regulations,HPE,Industry (Other),4.875,5.0,5.0,4.5,5.0,Flexible AI regulations is a generic industry wish list with little actionable content.,263
270,49,Develop a federal privacy framework tailored to AI systems,Bipartisan Policy Center,Think Tank,4.875,5.0,5.0,4.5,5.0,"Federal privacy framework tailored to AI is a valid goal but is broad, lacks specifics, and is politically challenging.",77
271,50,Prioritize AI for Cybersecurity,Information Technology Industry Council,Industry Association,4.875,5.0,5.0,4.5,5.0,Prioritizing AI for cybersecurity is a broad aspiration with little concrete policy content.,384
272,61,Develop Comprehensive Guidelines for AI Deployment,"CGI Federal, Inc.",Industry (Other),4.85,5.0,4.5,4.5,5.5,"Develops AI deployment guidelines. Vague, lacks enforcement or measurable objectives.",3104
273,54,Invest in AI for Economic Competitiveness,Wahba Institute for Strategic Competition,Think Tank,4.8,4.5,4.5,4.5,6.0,Investing in AI for economic competitiveness is broad and lacks actionable mechanisms.,1080
274,55,Modernize the Electrical Grid,INCOMPAS,Industry Association,4.8,4.5,4.5,4.5,6.0,Grid modernization is important but proposal is generic and lacks actionable detail.,1766
275,56,Support Innovations in AI Infrastructure Costs,HPE,Industry (Other),4.8,4.5,4.5,4.5,6.0,Supporting innovations to decrease AI infrastructure costs is vague and lacks specifics.,1752
276,57,Develop AI Technology Roadmap for Manufacturing,"Advanced Robotics for Manufacturing
  Institute",Think Tank,4.8,4.5,4.5,4.5,6.0,AI roadmap for manufacturing is sector-specific and not a core IAPS concern.,1356
277,62,Adopt Voluntary Risk-Based Approaches,HPE,Industry (Other),4.699999999999999,4.5,4.5,4.5,5.5,"Voluntary risk-based approaches. Vague, lacks enforcement or specificity.",3119
278,63,Engage in Multilateral AI Forums,Information Technology Industry Council,Industry Association,4.699999999999999,4.5,4.5,4.5,5.5,"Engage in multilateral AI forums. Vague, generic, lacks concrete mechanism.",2914
279,51,Encourage Diverse AI Technology Landscape,Information Technology Industry Council,Industry Association,4.6,4.5,4.5,4.5,5.0,Encouraging a diverse AI technology landscape is a generic industry wish list with little actionable content.,241
280,52,Create an Enabling Environment for AI Adoption,Information Technology Industry Council,Industry Association,4.6,4.5,4.5,4.5,5.0,Creating an enabling environment for AI adoption is broad and lacks concrete mechanisms.,248
281,53,Support Nuclear Energy Development,INCOMPAS,Industry Association,4.6,4.5,4.5,4.5,5.0,Support for nuclear energy is tangential to IAPS's AI governance priorities and is a generic industry push.,203
282,54,Negotiate International Trade Agreements for AI,Information Technology Industry Council,Industry Association,4.6,4.5,4.5,4.5,5.0,International trade agreements for AI are broad and lack actionable detail. Mostly an industry wish list.,816
283,55,Create a National Repository for Open-Source AI Software and Datasets,"CGI Federal, Inc.",Industry (Other),4.6,4.5,4.5,4.5,5.0,"National repository for open-source AI is broad, lacks detail, and risks duplicating existing efforts.",112
284,56,Invest in Protection Against AI Model Tampering,HPE,Industry (Other),4.6,4.5,4.5,4.5,5.0,Investing in protection against AI model tampering is relevant but lacks detail and is mostly an industry ask.,79
285,57,Develop and Enforce Data Privacy and Security Regulations,"CGI Federal, Inc.",Industry (Other),4.6,4.5,4.5,4.5,5.0,Developing and enforcing data privacy and security regulations is broad and lacks actionable detail.,161
286,54,Support Incremental Technology Upgrades,HPE,Industry (Other),4.6,4.5,4.5,4.5,5.0,Supporting incremental technology upgrades is vague and lacks specificity.,2778
287,55,Develop Comprehensive Energy Strategy for AI,INCOMPAS,Industry Association,4.6,4.5,4.5,4.5,5.0,Comprehensive energy strategy is vague and lacks actionable detail.,2567
288,56,"Promote ""Abundant AI"" Through Open Source and Closed Models",INCOMPAS,Industry Association,4.6,4.5,4.5,4.5,5.0,Open source/closed model advocacy is generic and lacks actionable recommendations.,2513
289,57,Promote Competition and Collaboration Among AI Companies,"CGI Federal, Inc.",Industry (Other),4.6,4.5,4.5,4.5,5.0,Promoting competition/collaboration is vague and lacks specificity.,2088
290,59,Provide Financial Incentives for AI Manufacturing Technology Adoption,"Advanced Robotics for Manufacturing
  Institute",Think Tank,4.5,4.5,4.5,4.5,4.5,Financial incentives for manufacturing tech are generic and lack specificity.,2112
291,60,Establish AI and Robotics Testing Facilities,"Advanced Robotics for Manufacturing
  Institute",Think Tank,4.5,4.5,4.5,4.5,4.5,AI/robotics testing facilities are not a strategic IAPS priority and lack specificity.,2138
292,56,Ensure existing regulation remains fit for purpose,Amazon,Frontier Developer,4.5,4.5,4.5,4.5,4.5,"Ensuring existing regulation remains fit for purpose is vague, primarily corporate lobbying, and lacks actionable recommendations.",4016
293,57,Leverage AI for Sustainable Development,Wahba Institute for Strategic Competition,Think Tank,4.5,4.5,4.5,4.5,4.5,"Leveraging AI for sustainable development is vague, aspirational, and lacks actionable recommendations.",4062
294,58,Provide Open and Democratic AI Solutions,Wahba Institute for Strategic Competition,Think Tank,4.5,4.5,4.5,4.5,4.5,Providing open and democratic AI solutions is vague and lacks actionable detail.,4407
295,59,Enhance Privacy & Data Protection,Wahba Institute for Strategic Competition,Think Tank,4.5,4.5,4.5,4.5,4.5,"Enhancing privacy and data protection is vague, aspirational, and lacks actionable recommendations.",4130
296,60,Invest in AI Talent Pipeline,Wahba Institute for Strategic Competition,Think Tank,4.5,4.5,4.5,4.5,4.5,Investing in AI talent pipeline is generic and lacks actionable recommendations.,4514
297,61,Improve STEM Education and AI Talent Development,Information Technology Industry Council,Industry Association,4.5,4.5,4.5,4.5,4.5,Improving STEM education and AI talent development is generic and lacks actionable recommendations.,4226
298,62,Support AI workforce development and immigration reform,Google,Frontier Developer,4.5,4.5,4.5,4.5,4.5,Supporting AI workforce development and immigration reform is generic and lacks actionable recommendations.,4201
299,63,Support professional development for teachers in AI,Microsoft,Frontier Developer,4.5,4.5,4.5,4.5,4.5,Supporting professional development for teachers in AI is generic and lacks actionable recommendations.,4641
300,64,Promote AI modules within core curricula at colleges and universities,Bipartisan Policy Center,Think Tank,4.5,4.5,4.5,4.5,4.5,Promoting AI modules in college curricula is generic and lacks actionable recommendations.,4082
301,65,Expand upskilling programs for the federal workforce,Bipartisan Policy Center,Think Tank,4.5,4.5,4.5,4.5,4.5,Expanding upskilling programs for the federal workforce is generic and lacks actionable recommendations.,4154
302,66,Establish training and grant programs for state and local readiness,Bipartisan Policy Center,Think Tank,4.5,4.5,4.5,4.5,4.5,Establishing training and grant programs for state and local readiness is generic and lacks actionable recommendations.,4174
303,58,Expand AI Literacy & Public Awareness,Wahba Institute for Strategic Competition,Think Tank,4.475,4.5,4.0,4.5,5.0,AI literacy/public awareness is not a strategic IAPS priority and is vague.,2037
304,58,Address AI's Impact on Mental and Social Health,Wahba Institute for Strategic Competition,Think Tank,4.4,4.0,4.0,4.0,6.0,AI's impact on mental health is a real issue but proposal is vague and lacks implementation details.,1445
305,64,Include Smaller AI Companies in Government Discussions,INCOMPAS,Industry Association,4.2,4.0,4.0,4.0,5.0,"Include smaller AI companies in discussions. Vague, lacks implementation path.",3466
306,65,Consider Stakeholder Roles Across AI Value Chain,Information Technology Industry Council,Industry Association,4.2,4.0,4.0,4.0,5.0,"Stakeholder roles across AI value chain. Vague, lacks actionable recommendations.",2991
307,66,Develop Federal Direction for Regional AI Initiatives,INCOMPAS,Industry Association,4.2,4.0,4.0,4.0,5.0,"Federal direction for regional AI initiatives. Vague, lacks specificity.",3747
308,67,Improve Access to Public Datasets,INCOMPAS,Industry Association,4.2,4.0,4.0,4.0,5.0,"Improve access to public datasets. Duplicates existing efforts, lacks new value.",2894
309,58,Invest in Power and Energy Management Software,HPE,Industry (Other),4.1000000000000005,4.0,4.0,4.0,4.5,"Investing in power and energy management software is a narrow, self-serving industry ask.",268
310,59,Invest in Modular Data Centers,HPE,Industry (Other),4.1000000000000005,4.0,4.0,4.0,4.5,"Investing in modular data centers is a narrow, self-serving industry ask.",375
311,60,Develop Models with Intuitive Explanations,HPE,Industry (Other),4.1000000000000005,4.0,4.0,4.0,4.5,"Developing models with intuitive explanations is vague, lacks implementation detail, and is mostly academic.",5
312,61,Foster Cross-Sector Partnerships for Explainability Research,HPE,Industry (Other),4.1000000000000005,4.0,4.0,4.0,4.5,Fostering cross-sector partnerships for explainability research is a vague academic aspiration.,238
313,62,Promote International AI Research Collaborations,HPE,Industry (Other),4.1000000000000005,4.0,4.0,4.0,4.5,Promoting international AI research collaborations is a vague aspiration with no actionable detail.,465
314,61,Establish Worker Assistance Programs,"Advanced Robotics for Manufacturing
  Institute",Think Tank,4.1000000000000005,4.0,4.0,4.0,4.5,Worker assistance programs are generic and not strategic for IAPS.,2781
315,62,Support Small Business and Entrepreneurship,"Advanced Robotics for Manufacturing
  Institute",Think Tank,4.1000000000000005,4.0,4.0,4.0,4.5,Small business/entrepreneurship support is generic and not strategic for IAPS.,2714
316,63,Focus Training on Emerging Industries,"Advanced Robotics for Manufacturing
  Institute",Think Tank,4.1000000000000005,4.0,4.0,4.0,4.5,Workforce training for emerging industries is generic and lacks specificity.,2664
317,64,Conduct Workforce Impact Research,INCOMPAS,Industry Association,4.1000000000000005,4.0,4.0,4.0,4.5,Workforce impact research is generic and not strategic for IAPS.,2404
318,65,Monitor economic impacts of AI and prepare for major actions,Anthropic,Frontier Developer,4.1000000000000005,4.0,4.0,4.0,4.5,Monitoring economic impacts is vague and self-referential (Anthropic's own index).,2559
319,59,Ensure AI Fairness & Prevent Discrimination,Wahba Institute for Strategic Competition,Think Tank,4.0,3.5,3.5,3.5,6.0,"Industry-led initiatives for AI fairness are vague, self-serving, and lack enforcement.",1083
320,60,Combat AI-Powered Disinformation While Preserving Free Speech,Wahba Institute for Strategic Competition,Think Tank,4.0,3.5,3.5,3.5,6.0,Voluntary content labeling for disinformation is vague and lacks enforcement.,1844
321,61,Strengthen AI Transparent Government Use,Wahba Institute for Strategic Competition,Think Tank,4.0,3.5,3.5,3.5,6.0,Transparent government AI use is a vague aspiration with no concrete mechanisms.,1433
322,62,Establish Guidelines for the Use of AI in Military Contexts,"CGI Federal, Inc.",Industry (Other),4.0,3.5,3.5,3.5,6.0,Guidelines for military AI use are important but proposal is vague and lacks enforcement.,1734
323,63,Develop Coordinated Technology Development Strategy,INCOMPAS,Industry Association,4.0,3.5,3.5,3.5,6.0,Coordinated technology development strategy is vague and lacks actionable mechanisms.,1462
324,67,Establish Training Partnerships,"Advanced Robotics for Manufacturing
  Institute",Think Tank,4.0,4.0,4.0,4.0,4.0,Establishing training partnerships is vague and lacks actionable recommendations.,4499
325,68,Balance Copyright Protections with AI Innovation,Information Technology Industry Council,Industry Association,3.6999999999999997,3.5,3.5,3.5,4.5,"Balance copyright protections with AI innovation. Mostly industry talking points, lacks actionable policy.",3442
326,69,Reform High-Skilled Immigration for AI Talent,Information Technology Industry Council,Industry Association,3.6999999999999997,3.5,3.5,3.5,4.5,"High-skilled immigration reform (H-1B). Corporate lobbying, lacks specificity, politically fraught.",2917
327,64,Use AI to Reduce Regulatory Barriers for Small ISPs,INCOMPAS,Industry Association,3.6,3.0,3.0,3.0,6.0,AI to reduce regulatory barriers for small ISPs is sector-specific and not a core IAPS concern.,1118
328,65,Support AI Entrepreneurs and Startups,INCOMPAS,Industry Association,3.6,3.0,3.0,3.0,6.0,Support for AI entrepreneurs is vague and lacks actionable mechanisms.,1239
329,66,Enhance Public-Private Collaboration for Defense AI,HPE,Industry (Other),3.6,3.0,3.0,3.0,6.0,Enhancing public-private collaboration for defense AI is a vague aspiration.,1129
330,67,Develop Services for Platform Verification,HPE,Industry (Other),3.6,3.0,3.0,3.0,6.0,Platform verification services are industry-centric and lack policy mechanisms.,1146
331,68,Implement AI Operations for IT Automation,HPE,Industry (Other),3.6,3.0,3.0,3.0,6.0,"AI operations for IT automation is an industry solution, not a policy proposal.",1960
332,63,Strengthen Cultural & Linguistic AI Applications,Wahba Institute for Strategic Competition,Think Tank,3.5999999999999996,3.5,3.5,3.5,4.0,Strengthening cultural and linguistic AI applications is tangential to IAPS's priorities and is vague.,559
333,64,Promote AI Environmental Sustainability,Wahba Institute for Strategic Competition,Think Tank,3.5999999999999996,3.5,3.5,3.5,4.0,"AI environmental sustainability is a generic, non-actionable aspiration.",428
334,65,Promote International Collaboration,INCOMPAS,Industry Association,3.5999999999999996,3.5,3.5,3.5,4.0,"Promoting international collaboration is a vague, non-actionable aspiration.",464
335,66,Prioritize affordability and reliability in AI energy infrastructure development,Bipartisan Policy Center,Think Tank,3.5999999999999996,3.5,3.5,3.5,4.0,Prioritizing affordability and reliability in AI energy infrastructure is vague and lacks actionable content.,56
336,67,Strengthen and Sustain Manufacturing USA Institutes,"Advanced Robotics for Manufacturing
  Institute",Think Tank,3.5999999999999996,3.5,3.5,3.5,4.0,Strengthening Manufacturing USA Institutes is tangential to IAPS's AI governance focus.,214
337,68,Leverage Manufacturing Extension Partnerships for SMEs,"Advanced Robotics for Manufacturing
  Institute",Think Tank,3.5999999999999996,3.5,3.5,3.5,4.0,Leveraging Manufacturing Extension Partnerships for SMEs is tangential and lacks actionable AI governance content.,489
338,69,Provide Training and Reskilling Opportunities for Workers,"CGI Federal, Inc.",Industry (Other),3.5999999999999996,3.5,3.5,3.5,4.0,"Training and reskilling workers is a generic workforce development proposal, not AI governance.",891
339,66,Encourage Global Adoption of Ethical AI Standards,HPE,Industry (Other),3.5999999999999996,3.5,3.5,3.5,4.0,Ethical AI standards advocacy is vague and not actionable.,2075
340,68,Expand Apprenticeships and On-the-Job Training,"Advanced Robotics for Manufacturing
  Institute",Think Tank,3.5,3.5,3.5,3.5,3.5,"Expanding apprenticeships and on-the-job training is generic, lacks detail, and is not aligned with IAPS's strategic priorities.",4011
341,69,Develop Regional Economic Supply Chains,"Advanced Robotics for Manufacturing
  Institute",Think Tank,3.5,3.5,3.5,3.5,3.5,"Developing regional economic supply chains is generic, lacks actionable recommendations, and is not aligned with IAPS's strategic priorities.",4223
342,69,Support Innovations in AI Infrastructure Costs,HPE,Industry (Other),3.2,2.5,2.5,2.5,6.0,"Vague, self-serving industry proposal with no policy substance.",1752
343,70,Remove restrictions and paywalls on scientific research,Microsoft,Frontier Developer,3.2,2.5,2.5,2.5,6.0,Removing paywalls on scientific research is idealistic and lacks implementation realism.,1961
344,71,Invest in Digital Twin Technology,HPE,Industry (Other),3.2,2.5,2.5,2.5,6.0,"Digital twin technology investment is an industry pitch, not a policy proposal.",1782
345,72,Create AI Innovation Hubs Across the Country,"CGI Federal, Inc.",Industry (Other),3.2,2.5,2.5,2.5,6.0,"AI innovation hubs are a vague, generic economic development proposal.",1758
346,70,Increase Support for University AI Research,INCOMPAS,Industry Association,3.2,3.0,3.0,3.0,4.0,"Increase support for university AI research. Generic, lacks specifics, not IAPS core.",2883
347,71,Invest in domestic workforce for broad AI adoption,Amazon,Frontier Developer,3.2,3.0,3.0,3.0,4.0,"Invest in domestic workforce for AI adoption. Generic, corporate wish list.",2940
348,70,Target federal apprenticeships for AI infrastructure,Microsoft,Frontier Developer,3.1,3.0,3.0,3.0,3.5,Targeting federal apprenticeships for AI infrastructure is a narrow workforce development proposal with little AI governance relevance.,226
349,71,AI-Ready Workforce Development Strategy,OpenAI,Frontier Developer,3.1,3.0,3.0,3.0,3.5,"AI-ready workforce development strategy is a generic workforce proposal, not AI governance.",639
350,67,Ensure Market Access for U.S. AI Technology,HPE,Industry (Other),3.1,3.0,3.0,3.0,3.5,Ensuring market access for US AI is pure corporate lobbying.,2095
351,68,Support AI Infrastructure Globally,Wahba Institute for Strategic Competition,Think Tank,3.1,3.0,3.0,3.0,3.5,Supporting AI infrastructure globally is vague and self-serving.,2147
352,70,Fund Large-Scale Collaborative AI Projects,"CGI Federal, Inc.",Industry (Other),3.0,3.0,3.0,3.0,3.0,"Funding large-scale collaborative AI projects is vague, aspirational, and lacks actionable recommendations.",3962
353,71,Create Adaptive Regulatory Mechanisms for AI,"CGI Federal, Inc.",Industry (Other),3.0,3.0,3.0,3.0,3.0,"Creating adaptive regulatory mechanisms is vague, lacks actionable recommendations, and is not aligned with IAPS's strategic priorities.",3982
354,73,Leverage AI for National Security Superiority,Wahba Institute for Strategic Competition,Think Tank,2.8000000000000003,2.0,2.0,2.0,6.0,Leverage AI for national security superiority is a wish list with no concrete mechanisms.,1757
355,74,Enhance Federal Coordination and Investment,HPE,Industry (Other),2.8000000000000003,2.0,2.0,2.0,6.0,Federal coordination and investment is a vague aspiration with no concrete policy content.,1682
356,72,Combat restrictive foreign AI barriers,Google,Frontier Developer,2.7,2.5,2.5,2.5,3.5,"Combat restrictive foreign AI barriers. Corporate lobbying, deregulatory, not IAPS-aligned.",3470
357,73,Implement AI-Driven Spectrum Management,INCOMPAS,Industry Association,2.7,2.5,2.5,2.5,3.5,"AI-driven spectrum management. Corporate wish list, not IAPS-aligned.",3073
358,72,Create AI Manufacturing Service Providers Ecosystem,"Advanced Robotics for Manufacturing
  Institute",Think Tank,2.6,2.5,2.5,2.5,3.0,AI manufacturing service providers ecosystem is a narrow industry proposal with little AI governance content.,673
359,73,Develop AI-Enhanced Material Discovery and Testing,"Advanced Robotics for Manufacturing
  Institute",Think Tank,2.6,2.5,2.5,2.5,3.0,"AI-enhanced material discovery and testing is a narrow R&D proposal, not AI governance.",966
360,69,Enforce copyright fair use for AI training,Microsoft,Frontier Developer,2.6,2.5,2.5,2.5,3.0,Copyright fair use enforcement is pure corporate lobbying.,2100
361,70,Ensure access to data for fair learning,Google,Frontier Developer,2.6,2.5,2.5,2.5,3.0,Ensuring access to data for AI training is corporate lobbying and not strategic for IAPS.,2087
362,71,Enhance labor market insights for AI workforce,Microsoft,Frontier Developer,2.6,2.5,2.5,2.5,3.0,Enhancing labor market insights is vague and self-serving.,2101
363,72,Promote AI innovation in U.S. trade agreements,Microsoft,Frontier Developer,2.6,2.5,2.5,2.5,3.0,Trade agreement advocacy is pure corporate lobbying.,2670
364,72,Promote U.S. technology leadership abroad,Amazon,Frontier Developer,2.5,2.5,2.5,2.5,2.5,"Promoting U.S. technology leadership abroad is pure corporate lobbying, vague, and not aligned with IAPS's strategic priorities.",3986
365,73,Ensure Fair Value for Creators,Wahba Institute for Strategic Competition,Think Tank,2.5,2.5,2.5,2.5,2.5,"Ensuring fair value for creators is vague, aspirational, and primarily a corporate lobbying position.",4759
366,75,Update incentives for data sharing from federally funded research,Microsoft,Frontier Developer,2.4000000000000004,1.5,1.5,1.5,6.0,"Updating incentives for data sharing is a generic, academic proposal with little policy substance or implementation realism.",1615
367,74,Create Incentives for Worker Training,INCOMPAS,Industry Association,2.2,2.0,2.0,2.0,3.0,"Incentives for worker training. Generic, corporate lobbying, not IAPS-aligned.",2862
368,74,Foster Public-Private Partnerships for AI Research,HPE,Industry (Other),2.1,2.0,2.0,2.0,2.5,"Fostering public-private partnerships for AI research is a vague, generic aspiration with no actionable content.",640
369,73,Increase domestic manufacturing of energy infrastructure,Microsoft,Frontier Developer,2.1,2.0,2.0,2.0,2.5,Domestic manufacturing of energy infrastructure is not AI-specific and is corporate lobbying.,2233
370,74,Upgrade Data Centers for AI Workloads,HPE,Industry (Other),2.1,2.0,2.0,2.0,2.5,Upgrading data centers for AI workloads is vague and self-serving.,2176
371,74,Citizen-Facing AI Services,Alvarez & Marshall Federal LLC,Industry (Other),2.0,2.0,2.0,2.0,2.0,"Citizen-facing AI services is vague, lacks actionable recommendations, and is not aligned with IAPS's strategic priorities.",4487
372,75,Streamline Government Procurement Processes for AI Technologies,"CGI Federal, Inc.",Industry (Other),1.7,1.5,1.5,1.5,2.5,"Streamline government procurement for AI. Vague, generic, lacks evidence or specificity.",2950
373,75,Integrate Data Centers with Energy Grids,HPE,Industry (Other),1.6,1.5,1.5,1.5,2.0,Integrating data centers with energy grids is not AI-specific and is pure industry wish-list.,2502
374,75,Support International AI Standards Development,Information Technology Industry Council,Industry Association,1.5,1.5,1.5,1.5,1.5,"Supporting international AI standards development is generic, industry-driven, and lacks actionable recommendations. Duplicates existing efforts without adding value.",4349
375,75,Strengthen Enforcement of IP Protections for AI,"CGI Federal, Inc.",Industry (Other),1.0,1.0,1.0,1.0,1.0,Strengthening enforcement of IP protections for AI is a pure corporate lobbying proposal with no relevance to IAPS's strategic priorities or AI governance.,81
